;name;layer_affected;kernel_index;layer_affected_index;n_bits_flipped_per_channel;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
;model-model_1;;;;;0.9115999937057495;;0.2891831398010254
0;model_1_0;quant_conv2d;1;2;1;0.9031000137329102;-0.008499979972839355;0.32224565744400024
1;model_1_1;quant_conv2d;1;2;1;0.9013000130653381;-0.010299980640411377;0.33043819665908813
2;model_1_0;quant_conv2d;1;2;1;0.8608999848365784;-0.05070000886917114;0.49163582921028137
3;model_1_1;quant_conv2d;1;2;1;0.8646000027656555;-0.046999990940093994;0.49219459295272827
4;model_1_0;quant_conv2d;1;2;1;0.8574000000953674;-0.05419999361038208;0.5061929225921631
5;model_1_1;quant_conv2d;1;2;1;0.8587999939918518;-0.052799999713897705;0.5100853443145752
6;model_1_0;quant_conv2d;1;2;10;0.597000002861023;-0.31459999084472656;2.4490842819213867
7;model_1_1;quant_conv2d;1;2;10;0.5939000248908997;-0.31769996881484985;2.4586446285247803
